appid;name;developer;publisher;release_date;price;is_free;owners_lower_bound;ccu;rating_porcentaje;positive;negative;hub_followers;total_achievements;total_dlcs;supported_languages;controller_support;platform_windows;platform_mac;platform_linux;min_ram_gb;metacritic_score;dev_game_count;dev_experience;pub_game_count;pub_experience;release_year;release_month;release_quarter;price_tier;short_desc_len;genre_action;genre_adventure;genre_casual;genre_free_to_play;genre_indie;genre_massively_multiplayer;genre_rpg;genre_racing;genre_simulation;genre_sports;genre_strategy;genre_violent;genre_gore;genre_early_access;cat_single_player;cat_multi_player;cat_co_op;cat_online_co_op;cat_local_co_op;cat_full_controller_support;cat_partial_controller_support;cat_steam_achievements;cat_steam_cloud;cat_steam_workshop;cat_in_app_purchases;cat_steam_trading_cards;cat_remote_play_together;cat_shared_split_screen_co_op;tag_pixel_art;tag_first_person;tag_open_world;tag_crafting;tag_permadeath;tag_story_rich;tag_roguelike;tag_roguelite;tag_survival;tag_horror;tag_rpg;tag_action_rpg;tag_turn_based;tag_strategy;tag_tower_defense;tag_platformer;tag_metroidvania;tag_soulslike;tag_co_op;tag_multiplayer;tag_local_co_op;tag_pvp;tag_battle_royale;tag_sandbox;tag_simulation;tag_management;tag_city_builder;tag_sports;tag_racing;tag_puzzle;tag_point_&_click;tag_visual_novel;tag_anime;tag_2d;tag_3d;tag_realistic;tag_low_poly;tag_cartoon;tag_dark;tag_atmospheric;tag_relaxing;tag_difficult;tag_casual;tag_indie;tag_early_access;tag_free_to_play;tag_vr;tag_moba;tag_fps;tag_stealth;ts_total_reviews;ts_positive;ts_negative;ts_steam_purchase;ts_early_access;ts_months_active;ts_avg_playtime_hrs;ts_positive_ratio;num_genres;num_tags;num_categories;is_early_access;label;label_name;dev_success_prior
1086940;Baldur's Gate 3;Larian Studios;Larian Studios;3 Aug, 2023;186.75;0;20000000;54771;96.85;736688;23974;0;54;2;15;full;1;1;0;8.0;96;4;Establecido;4;Establecido;2023;8;Q3;Premium;211;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;1;1;1;0;1;0;1;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;943;57;857;0;1;197.64;0.943;3;4;9;0;2;Hit;0.7806
291550;Brawlhalla;Blue Mammoth Games;Ubisoft;17 Oct, 2017;0.0;1;20000000;14169;81.46;314809;71647;0;65;5;13;none;1;1;0;2.0;0;1;Novato;57;AAA;2017;10;Q4;F2P;303;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1000;573;427;1000;0;1;240.22;0.573;2;7;9;0;2;Hit;0.7257
4000;Garry's Mod;Facepunch Studios;Valve;29 Nov, 2006;5.79;0;20000000;18400;96.8;1122546;37161;0;29;0;31;none;1;1;1;4.0;0;2;Novato;30;AAA;2006;11;Q4;Budget;121;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;0;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1000;971;29;890;0;1;180.89;0.971;3;10;8;0;2;Hit;0.7468
1085660;Destiny 2;Bungie;Bungie;1 Oct, 2019;0.0;1;20000000;24619;79.58;497891;127725;0;23;16;13;none;1;0;0;6.0;83;1;Novato;1;Novato;2019;10;Q4;F2P;126;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1000;780;220;1000;0;1;1558.68;0.78;2;8;7;0;2;Hit;0.7257
359550;Tom Clancy's Rainbow Six Siege;Ubisoft Montreal;Ubisoft;1 Dec, 2015;0.0;1;20000000;51847;83.86;1172854;225730;0;48;9;16;full;1;0;0;8.0;0;13;AAA;57;AAA;2015;12;Q4;F2P;207;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1000;741;259;1000;0;1;241.51;0.741;1;9;7;0;2;Hit;0.8212
252490;Rust;Facepunch Studios;Facepunch Studios;8 Feb, 2018;59.99;0;20000000;143870;87.24;1071135;156649;0;102;5;25;none;1;1;0;12.0;69;2;Novato;1;Novato;2018;2;Q1;Premium;189;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;1;1;1;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1000;820;180;843;0;1;559.52;0.82;5;12;7;1;2;Hit;0.7468
552990;World of Warships;Wargaming Group Limited;Wargaming Group Limited;15 Nov, 2017;0.0;1;20000000;8518;77.03;112887;33665;0;43;25;18;none;1;0;0;6.0;81;3;Establecido;3;Establecido;2017;11;Q4;F2P;286;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;1;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1000;613;387;1000;0;2;315.6;0.613;4;6;7;0;2;Hit;0.7649
346110;ARK: Survival Evolved;Studio Wildcard;Studio Wildcard;27 Aug, 2017;67.99;0;20000000;22170;83.84;612177;117993;0;32;18;21;full;1;1;0;8.0;70;4;Establecido;4;Establecido;2017;8;Q3;Premium;211;1;1;0;0;1;1;1;0;0;0;0;0;0;0;1;1;1;0;0;1;0;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1000;820;180;770;0;1;249.33;0.82;5;10;7;1;2;Hit;0.7649
413150;Stardew Valley;ConcernedApe;ConcernedApe;26 Feb, 2016;4.99;0;20000000;50662;98.44;872384;13811;0;49;1;12;full;1;1;1;2.0;89;1;Novato;1;Novato;2016;2;Q1;Budget;240;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;1;1;1;0;1;0;1;1;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1000;984;16;915;0;1;83.94;0.984;3;10;10;0;2;Hit;0.7257
242760;The Forest;Endnight Games Ltd;Endnight Games Ltd;30 Apr, 2018;10.49;0;20000000;2892;95.54;599805;27986;0;45;0;16;none;1;0;0;4.0;83;2;Novato;1;Novato;2018;4;Q2;Mid;237;1;1;0;0;1;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1000;955;45;844;0;1;31.04;0.955;4;11;6;1;2;Hit;0.7468
1491000;War Robots: Frontiers;MY.GAMES;MY.GAMES;4 Mar, 2025;0.0;1;20000000;256;64.15;1977;1105;0;33;4;12;full;1;0;0;8.0;0;3;Establecido;4;Establecido;2025;3;Q1;F2P;212;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1000;651;349;1000;0;10;92.59;0.651;2;5;4;0;2;Hit;0.7649
238960;Path of Exile;Grinding Gear Games;Grinding Gear Games;23 Oct, 2013;0.0;1;20000000;4694;89.25;209822;25269;0;127;6;9;full;1;1;0;8.0;86;2;Novato;2;Novato;2013;10;Q4;F2P;300;1;1;0;0;1;1;1;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1000;878;122;1000;0;2;855.54;0.878;5;6;8;0;2;Hit;0.7468
218620;PAYDAY 2;OVERKILL - a Starbreeze Studio.;Starbreeze Entertainment;13 Aug, 2013;29.99;0;20000000;27254;89.63;594327;68755;0;1328;81;12;full;1;0;1;4.0;79;2;Novato;4;Establecido;2013;8;Q3;Premium;219;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1000;899;101;775;0;1;100.61;0.899;2;7;9;0;2;Hit;0.7468
291480;Warface: Clutch;MY.GAMES;MY.GAMES;1 Jul, 2014;0.0;0;20000000;270;66.37;54554;27643;0;67;0;10;none;1;0;0;4.0;0;3;Establecido;4;Establecido;2014;7;Q3;F2P;247;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1000;467;533;1000;0;16;362.18;0.467;2;7;6;0;2;Hit;0.7649
901583;Grand Theft Auto IV: Complete Edition;Rockstar North;Rockstar Games;;0.0;0;20000000;0;82.48;144570;30702;0;55;0;5;none;1;0;0;0.0;90;4;Establecido;15;AAA;0;0;Desconocido;F2P;337;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1000;869;131;944;0;1;41.58;0.869;2;5;3;0;2;Hit;0.7806
899770;Last Epoch;Eleventh Hour Games;Eleventh Hour Games;21 Feb, 2024;18.0;0;20000000;5831;79.57;88027;22596;0;0;8;10;full;1;0;0;8.0;80;1;Novato;1;Novato;2024;2;Q1;Mid;292;1;1;0;0;1;0;1;0;0;0;0;0;0;0;1;1;1;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1000;674;326;881;0;3;246.09;0.674;4;5;7;0;2;Hit;0.7257
